LocationID,VisitID,ID,CharacteristicID,ResultValue,Units,Qualifier,FlagID,MethodID,ResultComment,SampleDepth,UniqueID,Datetime,ProjectID,SampleTypeID,HasFlow,SampleDepthType,Comment,LocationDescription,WaterBodyID,MunicipalityID,Latitude,Longitude,LocationTypeID,LocationMethod,CoordinateSystem,InWatershed,RegionalID,WaterType,Owner,StaffGage,County,CatchmentArea_Sqmi
MWRA176,17442,339706,DO,8.12,mg/l,NA,NA,25,NA,0.3,200511011100_MWRA176_CSORWM_S_S,2005-11-01T16:00:00Z,CSORWM,S,1,S,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,17924,345846,ECOLI,35.0,MPN/100ml,NA,NA,5,NA,0.1,200610170845_MWRA176_CSORWM_S_S,2006-10-17T12:45:00Z,CSORWM,S,1,S,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,19381,365601,SALINITY,0.41,PSU,NA,NA,70,NA,0.1,201005270842_MWRA176_CSORWM_S_S,2010-05-27T12:42:00Z,CSORWM,S,1,S,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,17924,345848,ENT,10.0,MPN/100ml,NA,NA,11,NA,0.1,200610170845_MWRA176_CSORWM_S_S,2006-10-17T12:45:00Z,CSORWM,S,1,S,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,23682,367984,DO,0.42,mg/l,NA,NA,25,NA,2.42,201009151000_MWRA176_CSORWM_B_S,2010-09-15T14:00:00Z,CSORWM,S,1,B,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,23502,362723,DO,4.82,mg/l,NA,NA,25,NA,3.05,200910060913_MWRA176_CSORWM_B_S,2009-10-06T13:13:00Z,CSORWM,S,1,B,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,18354,351586,DEPTH,3.1,m,NA,NA,NA,NA,NA,200710240933_MWRA176_CSORWM_S_S,2007-10-24T13:33:00Z,CSORWM,S,1,S,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,22181,325532,TURB,6.9,NTU,NA,NA,35,NA,2.34,200305080900_MWRA176_CSORWM_B_S,2003-05-08T13:00:00Z,CSORWM,S,1,B,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,18354,351588,TURB,1.8,NTU,NA,NA,35,NA,0.3,200710240933_MWRA176_CSORWM_S_S,2007-10-24T13:33:00Z,CSORWM,S,1,S,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,23682,367989,DO_SAT,5.3,%,NA,NA,25,NA,2.42,201009151000_MWRA176_CSORWM_B_S,2010-09-15T14:00:00Z,CSORWM,S,1,B,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,17023,333917,TEMP_WATER,15.54,deg C,NA,NA,86,NA,0.3,200410070932_MWRA176_CSORWM_S_S,2004-10-07T13:32:00Z,CSORWM,S,1,S,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,22621,337773,PH,7.15,NA,NA,NA,80,NA,2.22,200508031052_MWRA176_CSORWM_B_S,2005-08-03T14:52:00Z,CSORWM,S,1,B,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,20492,381296,DO,9.04,mg/l,NA,NA,25,NA,0.1,201207100850_MWRA176_CSORWM_S_S,2012-07-10T12:50:00Z,CSORWM,S,1,S,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,20492,381297,TEMP_WATER,25.65,deg C,NA,NA,86,NA,0.1,201207100850_MWRA176_CSORWM_S_S,2012-07-10T12:50:00Z,CSORWM,S,1,S,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,24500,391610,TEMP_WATER,16.48,deg C,NA,NA,86,NA,2.7,201310310925_MWRA176_CSORWM_B_S,2013-10-31T13:25:00Z,CSORWM,S,1,B,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,19815,371676,PH,7.45,NA,NA,NA,80,NA,0.1,201105230926_MWRA176_CSORWM_S_S,2011-05-23T13:26:00Z,CSORWM,S,1,S,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,17818,344373,SALINITY,0.51,PSU,NA,NA,70,NA,0.3,200608220838_MWRA176_CSORWM_S_S,2006-08-22T12:38:00Z,CSORWM,S,1,S,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,22621,337775,SALINITY,15.87,PSU,NA,NA,70,NA,2.22,200508031052_MWRA176_CSORWM_B_S,2005-08-03T14:52:00Z,CSORWM,S,1,B,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,23629,366750,TURB,12.0,NTU,NA,NA,35,NA,2.53,201007210843_MWRA176_CSORWM_B_S,2010-07-21T12:43:00Z,CSORWM,S,1,B,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,20492,381303,SALINITY,1.3,PSU,NA,NA,70,NA,0.1,201207100850_MWRA176_CSORWM_S_S,2012-07-10T12:50:00Z,CSORWM,S,1,S,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
